Date,Time,Temperature (Celsius) ,,Solar Irradiance (W/m^2),,Energy Consumption (Wh)
6/08/2021,15:00,14.318297,,769,,9898
6/08/2021,16:00,13.968297,,628,,10172
6/08/2021,17:00,13.188297,,445,,10219
6/08/2021,18:00,11.638297,,258,,10963
6/08/2021,19:00,11.198297,,81,,11908
6/08/2021,20:00,10.928297,,0,,11820
6/08/2021,21:00,10.968297,,0,,11667
6/08/2021,22:00,10.658297,,0,,11280
6/08/2021,23:00,10.348297,,0,,10655
7/08/2021,0:00,9.818297,,0,,10042
7/08/2021,1:00,9.268297,,0,,9487
7/08/2021,2:00,8.888297,,0,,9073
7/08/2021,3:00,9.028297,,0,,8800
7/08/2021,4:00,9.058297,,0,,8662
7/08/2021,5:00,9.118297,,0,,8634
7/08/2021,6:00,9.098297,,12,,8760
7/08/2021,7:00,6.5682974,,146,,9005
7/08/2021,8:00,7.0482974,,318,,9076
7/08/2021,9:00,10.848297,,486,,9133
7/08/2021,10:00,11.668297,,633,,9219
7/08/2021,11:00,12.578297,,742,,9213
7/08/2021,12:00,13.9882965,,812,,10209
7/08/2021,13:00,13.818297,,830,,10137
7/08/2021,14:00,13.448297,,795,,11056
7/08/2021,15:00,13.638297,,704,,9031
7/08/2021,16:00,12.968297,,565,,9087
7/08/2021,17:00,12.608297,,395,,9751
7/08/2021,18:00,11.688297,,220,,10526
7/08/2021,19:00,11.468297,,63,,10577
7/08/2021,20:00,11.428297,,0,,10630
7/08/2021,21:00,11.018297,,0,,10627
7/08/2021,22:00,10.778297,,0,,10563
7/08/2021,23:00,10.038297,,0,,10187
